code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,equipee
13070,La Penne-sur-Huveaune,93 - Provence-Alpes-Côte d'Azur,6605,23.1,27380.0,15.4728664844467,0.0,2,0,43.27759928571428,5.517556428571429,0.0,29699.13014414578,False,False,97.97625813902296,1
13073,Peypin,93 - Provence-Alpes-Côte d'Azur,5771,21.87,30670.0,15.7372170706934,0.0,0,0,43.386463584905655,5.572424528301886,2.5,30969.025956801583,True,False,102.23212715064078,0
13080,Le Puy-Sainte-Réparade,93 - Provence-Alpes-Côte d'Azur,5935,23.97,28490.0,15.0972182426423,0.0,0,0,43.65126803030304,5.438048484848486,7.8,32918.9100395074,True,True,86.69493025986881,0
13084,La Roque-d'Anthéron,93 - Provence-Alpes-Côte d'Azur,5459,22.42,25650.0,15.012294764084,0.0,0,0,43.71231671428572,5.3072360000000005,7.2,32064.96876057233,True,True,90.18290824887578,0
13085,Roquefort-la-Bédoule,93 - Provence-Alpes-Côte d'Azur,5798,27.39,30260.0,16.0411128853789,0.0,1,0,43.25123471428571,5.627192714285715,0.0,31289.15606914753,False,False,103.16683903234993,1
13088,Le Rove,93 - Provence-Alpes-Côte d'Azur,5246,22.39,28850.0,17.3728984192202,0.0,0,0,43.36159675675676,5.249845405405406,4.1,31456.53220847008,True,False,89.19978053044889,0
13091,Saint-Cannat,93 - Provence-Alpes-Côte d'Azur,6097,23.99,30640.0,17.7273693059565,0.0,1,0,43.61393666666666,5.305357719298246,0.0,31154.57528137561,False,False,97.1606096109172,1
13092,Saint-Chamas,93 - Provence-Alpes-Côte d'Azur,8676,20.44,27990.0,14.2801594430206,0.0,0,0,43.5467238372093,5.067434418604651,4.6,31178.432006468567,True,False,93.74071522264808,0
13106,Septèmes-les-Vallons,93 - Provence-Alpes-Côte d'Azur,11995,19.54,25500.0,15.7944430726668,0.0,0,0,43.39039246575342,5.377542328767124,4.5,30753.26981839845,True,False,109.9355124185057,0
13107,Simiane-Collongue,93 - Provence-Alpes-Côte d'Azur,5780,23.18,32040.0,15.4160390397883,0.0,0,0,43.41006039473684,5.4376531578947365,4.3,32020.65393355592,True,True,111.1514802875332,0
13114,Ventabren,93 - Provence-Alpes-Côte d'Azur,5839,26.92,37490.0,19.3984093650668,0.0,0,0,43.54183986486487,5.301189864864865,3.9,33315.80705357691,True,True,110.60636700843398,0
13119,Carnoux-en-Provence,93 - Provence-Alpes-Côte d'Azur,6873,26.03,29480.0,16.1723568142129,0.0,2,0,43.25843565217391,5.567373043478261,0.0,30393.8636715564,False,False,84.18265869638545,1
14061,Souleuvre en Bocage,28 - Normandie,8629,21.87,24390.0,9.06516769561828,0.0,0,0,48.95780178832116,-0.8427163868613139,16.0,35367.65894859964,True,True,58.26641880893454,0
14076,Blainville-sur-Orne,28 - Normandie,6106,19.61,24740.0,12.0771057562395,0.0,1,0,49.227510555555554,-0.3105638888888889,0.0,29617.31771931193,False,False,80.994452776089,1
14098,Thue et Mue,28 - Normandie,6182,15.82,28240.0,11.87016272355,0.0,0,0,49.19906957627119,-0.5361239830508474,6.2,31252.036281139783,True,False,67.21073986532383,0
14167,Colombelles,28 - Normandie,7243,18.28,21980.0,12.6634783844664,0.0,0,0,49.19831063829786,-0.2974744680851063,2.5,30751.9024554274,True,False,78.15301575403291,0
14174,Condé-en-Normandie,28 - Normandie,5985,31.14,23200.0,8.36636531593613,0.0,2,0,48.89226385714286,-0.590918619047619,0.0,30403.968830392987,False,False,56.734370838898286,1
14181,Cormelles-le-Royal,28 - Normandie,5377,24.37,25730.0,13.2796304163122,0.0,0,0,49.15418307692308,-0.326106923076923,1.7,29979.024785751,True,False,75.86768774955313,0
14228,Douvres-la-Délivrande,28 - Normandie,5143,27.02,28790.0,12.0383209734437,0.0,1,0,49.292689,-0.3956253999999999,0.0,30679.30941536796,False,False,58.8712078054812,1
14301,Giberville,28 - Normandie,5077,20.02,24220.0,12.1701267723735,0.0,0,0,49.17698000000001,-0.2853296969696969,1.9,29756.515509136854,True,False,75.31704488181508,0
