rang,commune,region,population,part_65_plus_pct,nb_audioprothesistes_2022,score,desert_5000,prioritaire
2900,Mirande,76 - Occitanie,3455,32.8,2,38415.20438322924,False,False
2901,Livarot-Pays-d'Auge,28 - Normandie,6254,22.6,0,38414.80267075713,True,True
2902,Montmoreau,75 - Nouvelle-Aquitaine,2573,29.2,0,38414.74672137678,False,False
2903,Boutenac-Touvent,75 - Nouvelle-Aquitaine,227,28.7,0,38414.18419520278,False,False
2904,Pontorson,28 - Normandie,4330,34.9,2,38414.15625597949,False,False
2905,Saint-Lions,93 - Provence-Alpes-Côte d'Azur,45,51.2,0,38414.15288039,False,False
2906,Anlezy,27 - Bourgogne-Franche-Comté,246,32.6,0,38414.14162813739,False,False
2907,Saint-Martin-Cantalès,84 - Auvergne-Rhône-Alpes,146,32.2,0,38413.854966750536,False,False
2908,Decize,27 - Bourgogne-Franche-Comté,5267,33.8,2,38413.47123101707,False,False
2909,Saint-Hilaire-du-Harcouët,28 - Normandie,5932,35.6,3,38413.10882653344,False,False
2910,Lendou-en-Quercy,76 - Occitanie,638,28.0,0,38412.8321478418,False,False
2911,Vollore-Montagne,84 - Auvergne-Rhône-Alpes,302,30.6,0,38412.24090177839,False,False
2912,Lingé,24 - Centre-Val de Loire,221,34.0,0,38412.158101724046,False,False
2913,Fozzano,94 - Corse,208,25.9,0,38412.03531062909,False,False
2914,Bossay-sur-Claise,24 - Centre-Val de Loire,752,31.9,0,38411.7780455671,False,False
2915,Saint-Étienne-les-Orgues,93 - Provence-Alpes-Côte d'Azur,1320,33.9,0,38411.395668585596,False,False
2916,Saint-Hilaire-les-Courbes,75 - Nouvelle-Aquitaine,162,32.1,0,38410.58472228876,False,False
2917,Reffuveille,28 - Normandie,508,27.6,0,38410.465292294015,False,False
2918,Vitrey-sur-Mance,27 - Bourgogne-Franche-Comté,284,35.9,0,38410.40995287226,False,False
2919,Montillot,27 - Bourgogne-Franche-Comté,269,36.5,0,38409.96951541906,False,False
2920,Lormont,75 - Nouvelle-Aquitaine,23128,15.9,2,38409.871309446135,False,False
2921,Vernais,24 - Centre-Val de Loire,191,34.2,0,38409.65718656974,False,False
2922,Fuilla,76 - Occitanie,447,29.5,0,38409.19812488383,False,False
2923,Châtillon-Coligny,24 - Centre-Val de Loire,1881,32.7,0,38409.04082959763,False,False
2924,Quinson,93 - Provence-Alpes-Côte d'Azur,407,30.2,0,38408.62168918597,False,False
2925,Varennes-sur-Amance,44 - Grand Est,265,37.5,0,38408.415083360895,False,False
2926,Les Monts-Verts,76 - Occitanie,354,30.1,0,38408.03975258152,False,False
2927,Grandvilliers,32 - Hauts-de-France,2880,29.2,1,38407.78106146691,False,False
2928,Rocquigny,44 - Grand Est,690,28.5,0,38407.72574808567,False,False
2929,Montagnac-Montpezat,93 - Provence-Alpes-Côte d'Azur,420,32.7,0,38407.67340277753,False,False
2930,Ayat-sur-Sioule,84 - Auvergne-Rhône-Alpes,142,38.1,0,38407.32222059192,False,False
2931,Saint-Sulpice-les-Champs,75 - Nouvelle-Aquitaine,353,32.5,0,38406.953733444505,False,False
2932,Landrecies,32 - Hauts-de-France,3479,20.8,0,38406.80354341301,False,False
2933,Fécamp,28 - Normandie,18251,25.6,3,38406.69005571496,False,False
2934,Belvédère,93 - Provence-Alpes-Côte d'Azur,686,30.8,0,38406.47890989507,False,False
2935,Dancevoir,44 - Grand Est,191,41.3,0,38406.200071805055,False,False
2936,Déville-lès-Rouen,28 - Normandie,10461,17.7,0,38406.10144584727,True,True
2937,Étang-sur-Arroux,27 - Bourgogne-Franche-Comté,1835,33.0,0,38406.05227184529,False,False
2938,Paizay-Naudouin-Embourie,75 - Nouvelle-Aquitaine,362,32.0,0,38405.42629871435,False,False
2939,Bargemon,93 - Provence-Alpes-Côte d'Azur,1349,27.7,0,38405.258076098224,False,False
2940,Duravel,76 - Occitanie,957,32.6,0,38405.02876726719,False,False
2941,Marle,32 - Hauts-de-France,2252,24.6,0,38404.91933206767,False,False
2942,Nontron,75 - Nouvelle-Aquitaine,3068,34.7,2,38404.801465059616,False,False
2943,Saint-Pierre-de-Maillé,75 - Nouvelle-Aquitaine,880,33.6,0,38404.27742244364,False,False
2944,Marnes,75 - Nouvelle-Aquitaine,247,36.4,0,38403.74842306262,False,False
2945,Artignosc-sur-Verdon,93 - Provence-Alpes-Côte d'Azur,301,35.8,0,38403.602890931295,False,False
2946,Saint-Vallier,75 - Nouvelle-Aquitaine,135,28.3,1,38403.55400679782,False,False
2947,Saint-Just-en-Chevalet,84 - Auvergne-Rhône-Alpes,1138,34.1,0,38403.3546109406,False,False
2948,Maureillas-las-Illas,76 - Occitanie,2561,30.7,0,38403.07219431642,False,False
2949,Chasseneuil-sur-Bonnieure,75 - Nouvelle-Aquitaine,3065,31.0,1,38403.02812452987,False,False
2950,Grandval,84 - Auvergne-Rhône-Alpes,118,31.7,0,38402.77781631085,False,False
2951,Saugues,84 - Auvergne-Rhône-Alpes,1701,31.7,1,38402.73794439298,False,False
2952,Alès,76 - Occitanie,40802,25.9,9,38402.208940135744,False,False
2953,Valdelaume,75 - Nouvelle-Aquitaine,840,29.6,0,38402.17287795578,False,False
2954,Saint-Privat,84 - Auvergne-Rhône-Alpes,1711,35.3,0,38402.10657318788,False,False
2955,Montpezat-sous-Bauzon,84 - Auvergne-Rhône-Alpes,739,29.4,0,38401.39795186815,False,False
2956,Mauléon-d'Armagnac,76 - Occitanie,272,37.6,0,38401.214757446876,False,False
2957,Vesdun,24 - Centre-Val de Loire,559,28.0,0,38401.12256481842,False,False
2958,Cannes,93 - Provence-Alpes-Côte d'Azur,73965,29.6,10,38400.97393296556,False,False
2959,Puisserguier,76 - Occitanie,2974,27.7,0,38400.82140148786,False,False
2960,Serqueux,28 - Normandie,985,30.4,0,38399.93967955185,False,False
