code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,rang
79195,Nueil-les-Aubiers,75 - Nouvelle-Aquitaine,5483,22.3,23380.0,7.95214729522791,0.0,0,0,46.93704270531401,-0.6015408212560387,12.4,34293.864040389606,True,True,63.05404886914846,27
85226,Saint-Hilaire-de-Riez,52 - Pays de la Loire,13074,42.57,27070.0,12.6504599256939,0.0,0,0,46.75099462857143,-1.9676958857142852,7.3,34263.117902328166,True,True,73.16234903638575,28
97125,Saint-François,01 - Guadeloupe,13942,20.61,,15.1080352333511,0.0,0,0,16.269557103825136,-61.26339540983606,13.2,34235.191670298154,True,True,5.79403148827106,29
79179,Moncoutant-sur-Sèvre,75 - Nouvelle-Aquitaine,5121,26.13,24280.0,8.2747887477079,0.0,0,0,46.73551208333333,-0.5762933333333333,12.1,34214.424859497594,True,True,60.940752570385,30
49301,Sèvremoine,52 - Pays de la Loire,25797,17.97,26070.0,10.7584183462106,0.0,0,0,47.09373540897097,-1.0917958311345646,13.7,34176.48541557731,True,True,69.91142159967345,31
81120,Labruguière,76 - Occitanie,6584,25.29,23830.0,9.23158647398408,0.0,0,0,43.510384370370375,2.264210296296296,11.5,34129.25040091752,True,True,57.5959369901477,32
45191,Le Malesherbois,24 - Centre-Val de Loire,8016,19.02,24200.0,11.2629665251114,0.0,0,0,48.28056162436548,2.3464431979695437,13.0,34072.80093561937,True,True,43.48551660869629,33
89464,Villeneuve-sur-Yonne,27 - Bourgogne-Franche-Comté,5135,28.87,23290.0,10.018281424805,0.0,0,0,48.08042825688073,3.319886513761468,9.8,34055.72651614322,True,True,63.03621358260361,34
50041,La Hague,28 - Normandie,11484,18.38,28290.0,10.7240673770789,0.0,0,0,49.660618407407405,-1.8104401111111112,12.6,34045.24324686586,True,True,44.12700693933321,35
33314,Pauillac,75 - Nouvelle-Aquitaine,5190,22.24,21080.0,10.9826878479639,1.0,0,0,45.19743764705883,-0.7656641176470589,9.1,34043.22388344248,True,True,62.25655469510748,36
97406,La Plaine-des-Palmistes,04 - La Réunion,6936,14.13,17700.0,12.6791733129069,0.0,0,0,-21.156258164556963,55.62798702531645,7.2,33916.935218985775,True,True,51.659087102403,37
01419,,84 - Auvergne-Rhône-Alpes,6569,12.98,43850.0,28.1798300218551,,0,0,46.23789681159421,5.974729130434782,5.0,33849.67873304268,True,True,95.57901879849332,38
83087,Nans-les-Pins,93 - Provence-Alpes-Côte d'Azur,5215,28.45,29190.0,13.5113109704984,0.0,0,0,43.384681176470586,5.787512705882352,8.9,33828.729986165345,True,True,84.42324865426586,39
68374,Wintzenheim,44 - Grand Est,8059,25.31,27690.0,12.5708933276997,0.0,0,0,48.06301911392405,7.27635569620253,10.3,33802.20348709624,True,True,37.20595302329918,40
49345,Bellevigne-en-Layon,52 - Pays de la Loire,5922,19.9,25780.0,9.07942896059933,0.0,0,0,47.2690643678161,-0.5346160344827586,12.9,33797.25343444914,True,True,60.60351014142748,41
44213,Loireauxence,52 - Pays de la Loire,7587,19.11,24540.0,9.18994847013392,0.0,0,0,47.431043886010364,-1.0237331088082902,12.9,33792.684249446305,True,True,37.1332835888863,42
18141,Mehun-sur-Yèvre,24 - Centre-Val de Loire,6380,28.78,24890.0,9.93535926036442,1.0,0,0,47.13519890109891,2.221137472527473,10.7,33773.64223329889,True,True,59.31603751535931,43
74309,Viry,84 - Auvergne-Rhône-Alpes,5809,11.9,46760.0,20.9814483235218,0.0,0,0,46.12019517647059,6.026879058823528,4.8,33732.83307501361,True,True,98.58115664633344,44
27198,Mesnils-sur-Iton,28 - Normandie,6078,20.38,25240.0,9.99657364401046,0.0,0,0,48.86405023041474,1.0239104608294929,12.2,33529.62133504443,True,True,66.12002933411605,45
81021,Aussillon,76 - Occitanie,5527,35.57,21290.0,9.27614830131249,0.0,0,0,43.49395969696969,2.3529766666666667,4.9,33522.94629263036,True,True,65.81211663781049,46
97119,Petit-Canal,01 - Guadeloupe,8212,21.33,,13.7259835539844,0.0,0,0,16.39720123595506,-61.44815808988765,11.5,33519.4709038397,True,True,14.45919899491454,47
14726,Valdallière,28 - Normandie,5696,20.85,23750.0,8.69004469987147,0.0,0,0,48.85696778761061,-0.7352858407079645,11.0,33482.744193806146,True,True,63.010129976230125,48
97121,Pointe-Noire,01 - Guadeloupe,5762,26.61,,12.9648902351607,0.0,0,0,16.23001447368421,-61.76285026315789,10.1,33432.260432141855,True,True,25.07147250251997,49
38422,Saint-Martin-d'Uriage,84 - Auvergne-Rhône-Alpes,5587,19.76,37170.0,14.0069249281717,0.0,0,0,45.15238822222223,5.854425333333334,6.8,33417.485784054275,True,True,78.80070422082993,50
76552,Sainte-Adresse,28 - Normandie,7004,33.01,36540.0,13.7788392818375,0.0,0,0,49.51197727272727,0.0772859090909091,3.7,33398.29711556276,True,True,55.79595262984561,51
57058,Behren-lès-Forbach,44 - Grand Est,6166,22.12,17470.0,8.95506921910945,0.0,0,0,49.16654351351351,6.947886486486486,4.1,33362.56372481574,True,True,55.60432105223208,52
97405,Petite-Île,04 - La Réunion,13067,16.93,19110.0,13.6096778511598,0.0,0,0,-21.33618299319728,55.5722137414966,6.2,33322.338533175425,True,True,58.85534176739602,53
13114,Ventabren,93 - Provence-Alpes-Côte d'Azur,5839,26.92,37490.0,19.3984093650668,0.0,0,0,43.54183986486487,5.301189864864865,3.9,33315.80705357691,True,True,110.60636700843398,54
47252,Sainte-Livrade-sur-Lot,75 - Nouvelle-Aquitaine,6541,27.83,20570.0,8.8950874573102,0.0,0,0,44.40424638297873,0.6000797872340424,5.6,33300.50647562563,True,True,52.42185749590869,55
44182,Saint-Michel-Chef-Chef,52 - Pays de la Loire,5714,32.79,27960.0,12.7535652890846,0.0,0,0,47.17176055555555,-2.1270356944444444,7.0,33269.29688131424,True,True,76.05837938476417,56
97423,Les Trois-Bassins,04 - La Réunion,7221,14.43,18980.0,14.8940860019585,0.0,0,0,-21.11153888888889,55.3326138271605,6.3,33199.01626321466,True,True,72.90727346298748,57
14371,Livarot-Pays-d'Auge,28 - Normandie,6207,24.56,23190.0,9.19062001583693,0.0,0,0,48.99932534722223,0.2117224999999999,8.7,33186.20202266533,True,True,51.63134582879734,58
97134,Vieux-Habitants,01 - Guadeloupe,7077,26.71,,13.0172470303068,0.0,0,0,16.0855968,-61.72298906666667,9.4,33172.73920624598,True,True,31.7084045497848,59
33229,Lanton,75 - Nouvelle-Aquitaine,7337,34.01,28900.0,13.6775391990229,0.0,0,0,44.75319604395605,-1.0048674725274729,5.9,33159.92159779717,True,True,134.99579856515862,60
25321,Villers-le-Lac,27 - Bourgogne-Franche-Comté,5292,15.22,42410.0,14.703384200636,0.0,0,0,47.07250862068965,6.690594741379309,5.1,33152.45810237482,True,True,49.67124327226464,61
78224,L'Étang-la-Ville,11 - Île-de-France,5157,19.63,45540.0,19.9298786868647,0.0,0,0,48.868358,2.0647314285714287,2.0,33131.480271089,True,True,96.6324914380982,62
01313,Prévessin-Moëns,84 - Auvergne-Rhône-Alpes,9153,9.97,47980.0,24.134103063741,0.0,0,0,46.2559936764706,6.069940147058823,2.6,33042.8748531755,True,True,105.94651738354588,63
77037,Bois-le-Roi,11 - Île-de-France,6072,21.13,38140.0,17.1640518184677,0.0,0,0,48.48035891891893,2.7036224324324323,4.7,33041.354333863215,True,True,57.83262925669155,64
01173,Gex,84 - Auvergne-Rhône-Alpes,13627,10.08,41100.0,19.9021436251448,0.0,0,0,46.346787625,6.04846775,5.8,33038.32309939616,True,True,95.7638691342914,65
97212,Gros-Morne,02 - Martinique,9610,26.24,,13.8553740843479,0.0,0,0,14.70950550295858,-61.0240400591716,9.0,33025.57642086448,True,True,27.259290837050592,66
91338,Limours,11 - Île-de-France,6517,21.65,33970.0,16.6985602914026,2.0,0,0,48.64680409090909,2.080745303030303,6.2,33007.823265052466,True,True,64.75549913227361,67
62397,Guînes,32 - Hauts-de-France,5479,18.1,21570.0,10.6258705892513,0.0,0,0,50.85558472222223,1.8732813888888888,8.0,32976.979302834065,True,True,80.89753593229187,68
67519,La Wantzenau,44 - Grand Est,5864,25.17,33410.0,13.9577163442401,0.0,0,0,48.65402173333334,7.8288972,5.7,32919.56031294132,True,True,81.65843624949052,69
13080,Le Puy-Sainte-Réparade,93 - Provence-Alpes-Côte d'Azur,5935,23.97,28490.0,15.0972182426423,0.0,0,0,43.65126803030304,5.438048484848486,7.8,32918.9100395074,True,True,86.69493025986881,70
27213,Vexin-sur-Epte,28 - Normandie,6015,16.77,27670.0,10.6155266165024,0.0,0,0,49.16966165217392,1.5753270869565217,10.5,32907.94743511969,True,True,42.91199701139704,71
78537,Saint-Arnoult-en-Yvelines,11 - Île-de-France,5875,23.57,32850.0,15.9840435987684,0.0,0,0,48.57246222222222,1.931478571428572,6.0,32899.5577430424,True,True,39.575186137416935,72
81220,Rabastens,76 - Occitanie,5867,23.04,26240.0,10.2174311897503,3.0,0,0,43.84152598484849,1.7120877272727275,9.5,32885.2841914691,True,True,54.25390961843865,73
33042,Belin-Béliet,75 - Nouvelle-Aquitaine,6275,16.73,26500.0,12.8251203357796,0.0,0,0,44.48295373134329,-0.7728536567164179,10.6,32878.25380662057,True,True,34.95835391503602,74
22055,Binic-Étables-sur-Mer,53 - Bretagne,7041,36.74,29430.0,11.5896376255706,0.0,0,0,48.61421534883721,-2.836828372093024,4.5,32843.181336916496,True,True,87.78004182426331,75
97132,Trois-Rivières,01 - Guadeloupe,7415,26.48,,13.6361308669518,0.0,0,0,15.984889465648855,-61.65121763358779,8.5,32824.994038225086,True,True,25.579728719471586,76
06048,Contes,93 - Provence-Alpes-Côte d'Azur,7897,25.33,27620.0,15.7517266902604,1.0,0,0,43.810547368421055,7.322306184210526,7.4,32803.2020994893,True,True,46.68442814657324,77
