commune,region,population,part_65_plus_pct,densite_hab_km2,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,hab_par_audio,nb_orl_liberaux_2022
Cervières,84 - Auvergne-Rhône-Alpes,114,29.6,15.08,,6.5,0,114.0,0
Lachaussée,44 - Grand Est,271,12.9,9.97,21240.0,8.8,0,271.0,0
Lappion,32 - Hauts-de-France,265,15.2,11.18,18680.0,7.7,0,265.0,0
Thimory,24 - Centre-Val de Loire,724,11.9,58.53,22480.0,8.1,0,724.0,0
La Malmaison,32 - Hauts-de-France,408,13.7,15.93,19940.0,9.0,0,408.0,0
Anguilcourt-le-Sart,32 - Hauts-de-France,318,13.6,34.79,20490.0,8.2,0,318.0,0
Le Quesnel,32 - Hauts-de-France,786,11.9,69.07,21420.0,10.1,0,786.0,0
Alland'Huy-et-Sausseuil,44 - Grand Est,244,13.1,28.01,21080.0,8.5,0,244.0,0
Coupetz,44 - Grand Est,80,28.7,7.51,,9.0,0,80.0,0
Souvigné-sur-Sarthe,52 - Pays de la Loire,625,13.3,36.64,21250.0,7.0,0,625.0,0
Moussy-le-Vieux,11 - Île-de-France,1460,6.7,203.06,25350.0,14.7,0,1460.0,0
Ognolles,32 - Hauts-de-France,285,12.8,42.73,21020.0,9.3,0,285.0,0
Le Crocq,32 - Hauts-de-France,180,11.4,58.06,22550.0,10.1,0,180.0,0
Écuvilly,32 - Hauts-de-France,308,12.7,53.38,21110.0,9.3,0,308.0,0
Cusance,27 - Bourgogne-Franche-Comté,71,28.9,17.57,,8.4,0,71.0,0
Rennes-en-Grenouilles,52 - Pays de la Loire,106,29.4,13.49,,7.0,0,106.0,0
Launay-Villiers,52 - Pays de la Loire,384,13.9,42.43,20690.0,6.8,0,384.0,0
Buxières-lès-Villiers,44 - Grand Est,193,11.3,38.83,23940.0,7.6,0,193.0,0
Espenel,84 - Auvergne-Rhône-Alpes,176,14.2,11.69,20060.0,7.7,0,176.0,0
Bourbévelle,27 - Bourgogne-Franche-Comté,75,29.3,13.97,,7.3,0,75.0,0
La Bigottière,52 - Pays de la Loire,498,13.6,27.07,20940.0,7.0,0,498.0,0
Corpe,52 - Pays de la Loire,1012,13.3,59.18,20200.0,8.4,0,1012.0,0
Droupt-Saint-Basle,44 - Grand Est,357,13.7,19.18,20970.0,6.9,0,357.0,0
Saint-Félix-de-Rieutord,76 - Occitanie,456,12.0,67.36,22140.0,8.8,0,456.0,0
Marnaves,76 - Occitanie,76,28.9,7.39,,8.4,0,76.0,0
Lesbœufs,32 - Hauts-de-France,177,13.1,29.65,20700.0,9.3,0,177.0,0
Faye-sur-Ardin,75 - Nouvelle-Aquitaine,640,12.7,42.58,21560.0,7.9,0,640.0,0
Manhac,76 - Occitanie,828,12.5,44.76,22130.0,7.0,0,828.0,0
Envronville,28 - Normandie,349,12.3,56.11,21540.0,9.4,0,349.0,0
Neuve-Maison,32 - Hauts-de-France,614,14.7,72.92,18270.0,9.0,0,614.0,0
Saudron,44 - Grand Est,45,29.5,4.97,,6.8,0,45.0,0
Canehan,28 - Normandie,368,13.4,59.55,20030.0,9.4,0,368.0,0
Marson-sur-Barboure,44 - Grand Est,46,29.2,7.8,,7.6,0,46.0,0
Somme-Suippe,44 - Grand Est,501,12.8,15.9,21030.0,9.0,0,501.0,0
Donnay,28 - Normandie,289,12.4,25.83,21650.0,9.1,0,289.0,0
Bourgheim,44 - Grand Est,644,9.4,227.56,23940.0,11.2,0,644.0,0
Zincourt,44 - Grand Est,80,28.9,17.9,,8.3,0,80.0,0
Abelcourt,27 - Bourgogne-Franche-Comté,355,13.8,47.59,20400.0,7.6,0,355.0,0
Flainval,44 - Grand Est,203,12.3,56.23,21820.0,9.0,0,203.0,0
Chenay,75 - Nouvelle-Aquitaine,454,15.8,20.92,17840.0,7.3,0,454.0,0
Bussières-et-Pruns,84 - Auvergne-Rhône-Alpes,457,12.2,39.29,22000.0,8.6,0,457.0,0
Montreuil-sur-Lozon,28 - Normandie,332,14.4,51.47,19990.0,6.8,0,332.0,0
Sallagriffon,93 - Provence-Alpes-Côte d'Azur,49,28.6,5.11,,9.2,0,49.0,0
Mazoires,84 - Auvergne-Rhône-Alpes,97,29.2,2.3,,7.5,0,97.0,0
La Crique,28 - Normandie,343,12.0,33.69,22310.0,8.7,0,343.0,0
Saint-Ouen-d'Aunis,75 - Nouvelle-Aquitaine,1812,10.4,205.44,22210.0,10.3,0,1812.0,0
Saint-Amadou,76 - Occitanie,242,12.9,52.16,21030.0,8.9,0,242.0,0
Belloy,32 - Hauts-de-France,89,27.8,29.87,,11.2,0,89.0,0
Blaudeix,75 - Nouvelle-Aquitaine,102,29.5,14.78,,6.6,0,102.0,0
Villiers-Fossard,28 - Normandie,650,12.8,76.29,21840.0,6.8,0,650.0,0
La Chapelle-Bâton,75 - Nouvelle-Aquitaine,358,16.3,12.06,17240.0,7.3,0,358.0,0
Guimiliau,53 - Bretagne,1007,13.7,89.75,19990.0,7.5,0,1007.0,0
Saint-Jean-aux-Bois,44 - Grand Est,102,29.1,11.46,,7.7,0,102.0,0
Betoncourt-Saint-Pancras,27 - Bourgogne-Franche-Comté,48,29.5,7.56,,6.7,0,48.0,0
Antignac,76 - Occitanie,107,28.9,18.45,,8.2,0,107.0,0
Duerne,84 - Auvergne-Rhône-Alpes,830,12.2,72.74,22020.0,7.8,0,830.0,0
Bost,84 - Auvergne-Rhône-Alpes,185,13.3,19.51,20930.0,8.2,0,185.0,0
Gahard,53 - Bretagne,1497,11.5,59.98,22990.0,6.8,0,1497.0,0
Chilly,44 - Grand Est,139,11.5,23.6,23820.0,7.3,0,139.0,0
Gousse,75 - Nouvelle-Aquitaine,301,12.8,73.59,21240.0,8.5,0,301.0,0
Vignoc,53 - Bretagne,1950,9.1,138.4,24070.0,10.1,0,1950.0,0
Saint-Mard-lès-Rouffy,44 - Grand Est,162,11.2,23.48,23650.0,8.4,0,162.0,0
Arzembouy,27 - Bourgogne-Franche-Comté,67,29.4,5.21,,6.9,0,67.0,0
