code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl,dist_audio_km_v21,apl_v21
24055,Bourdeilles,75 - Nouvelle-Aquitaine,785,34.24,21650.0,9.79504026845091,0.0,0,0,45.321389821428575,0.5788580357142857,13.7,36767.14777614241,False,False,62.95284500795268,13.7,62.952845007952654
24056,Le Bourdeix,75 - Nouvelle-Aquitaine,246,27.11,23940.0,9.79504026845091,0.0,0,0,45.57924383333333,0.6370981666666666,6.0,32060.904350986955,False,False,31.92379329885057,6.0,31.92379329885058
24057,Bourg-des-Maisons,75 - Nouvelle-Aquitaine,73,25.0,,10.1219492454119,0.0,0,0,45.336169777777776,0.4350042222222221,12.9,34205.20809811161,False,False,39.35878102823439,12.9,39.35878102823438
24058,Bourg-du-Bost,75 - Nouvelle-Aquitaine,247,32.71,24090.0,8.62722926240352,0.0,0,0,45.26727720000001,0.2621426,6.1,32538.488515362336,False,False,35.07027246563197,6.1,35.07027246563197
24059,Bourgnac,75 - Nouvelle-Aquitaine,354,30.3,24410.0,9.50476750433753,0.0,0,0,45.015762045454544,0.3966020454545454,2.8,30898.132463053145,False,False,79.81757931100995,2.8,79.81757931100996
24060,Bourniquel,75 - Nouvelle-Aquitaine,62,38.6,,10.8893167754531,0.0,0,0,44.8097597826087,0.7707567391304349,6.1,32886.41505091206,False,False,41.109209706975705,6.1,41.109209706975705
24061,Bourrou,75 - Nouvelle-Aquitaine,139,25.0,24280.0,8.881102484796,0.0,0,0,45.048711914893616,0.6053570212765957,12.3,34185.002451489934,False,False,87.58191195234737,12.3,87.58191195234737
24062,Bouteilles-Saint-Sébastien,75 - Nouvelle-Aquitaine,172,37.28,22840.0,9.37836785416773,0.0,0,0,45.34893851851852,0.2899612962962963,12.1,35932.23053541822,False,False,21.978548130058225,12.1,21.978548130058225
24063,Bouzic,75 - Nouvelle-Aquitaine,160,35.15,27960.0,8.55136792670211,0.0,0,0,44.72122963414634,1.2192764634146342,12.3,35366.92683292953,False,False,43.56029134925414,12.3,43.56029134925413
24064,Brantôme en Périgord,75 - Nouvelle-Aquitaine,3763,32.55,25210.0,10.7996789770962,0.0,0,0,45.36167292517006,0.6342465986394558,16.9,36651.55386002664,False,False,68.62303833944046,16.9,68.62303833944044
24066,Brouchaud,75 - Nouvelle-Aquitaine,224,35.44,24450.0,9.23929374758618,0.0,0,0,45.203866901408446,0.9956322535211268,12.8,35381.20004811836,False,False,53.315920869849066,12.8,53.31592086984905
24067,Le Bugue,75 - Nouvelle-Aquitaine,2663,42.96,22940.0,9.2080370994972,1.0,3,0,44.92635769230769,0.9201010989010988,0.0,31088.064896837568,False,False,46.12606290378851,0.0,46.12606290378849
24068,Le Buisson-de-Cadouin,75 - Nouvelle-Aquitaine,1965,38.08,23610.0,10.8893167754531,0.0,0,0,44.818671048387095,0.8889560483870967,12.2,35837.92468935208,False,False,28.97812078466157,12.2,28.97812078466156
24069,Bussac,75 - Nouvelle-Aquitaine,379,20.25,25850.0,10.1219492454119,0.0,0,0,45.26895028169014,0.6027363380281691,7.6,31747.153244710225,False,False,66.41867551194761,7.6,66.41867551194757
24070,Busserolles,75 - Nouvelle-Aquitaine,516,35.82,21510.0,7.90549978806873,0.0,0,0,45.67822582608696,0.642048347826087,16.3,37917.59521119417,False,False,20.72553156486969,16.3,20.7255315648697
24071,Bussière-Badil,75 - Nouvelle-Aquitaine,386,32.76,22670.0,9.13353808144677,0.0,0,0,45.64107494505495,0.5960121978021979,13.5,36095.87217914056,False,False,24.332934389534845,13.5,24.33293438953486
24073,Calès,75 - Nouvelle-Aquitaine,369,35.67,23370.0,10.8893167754531,0.0,0,0,44.857939,0.8164390000000001,6.4,33363.00625631992,False,False,42.26612839887548,6.4,42.26612839887548
24074,Calviac-en-Périgord,75 - Nouvelle-Aquitaine,546,31.79,25410.0,11.1494323552721,0.0,0,0,44.86186508474576,1.3230477966101692,10.8,34167.42094882081,False,False,61.88167976990493,10.8,61.8816797699049
24075,Campagnac-lès-Quercy,75 - Nouvelle-Aquitaine,323,30.09,24140.0,7.76061738626771,0.0,0,0,44.69669012658227,1.1819717721518987,15.7,36050.45147938265,False,False,38.987371435909125,15.7,38.98737143590911
24076,,75 - Nouvelle-Aquitaine,416,27.54,24050.0,8.56247173052582,,0,0,44.8978659375,0.97612640625,5.4,31754.887483528448,False,False,53.20867091576052,5.4,53.2086709157605
24077,Campsegret,75 - Nouvelle-Aquitaine,407,20.98,25250.0,10.8893167754531,0.0,0,0,44.942195,0.5661438000000001,8.7,32206.17899434869,False,False,78.74288779198694,8.7,78.74288779198697
24080,Capdrot,75 - Nouvelle-Aquitaine,458,44.77,21530.0,7.76061738626771,0.0,0,0,44.67532164705882,0.940294588235294,23.8,41796.51657642619,False,False,24.457450926025917,23.8,24.457450926025913
24081,Carlux,75 - Nouvelle-Aquitaine,671,32.75,24590.0,11.1494323552721,0.0,0,0,44.88692911764706,1.360049705882353,8.3,33361.89769252383,False,False,66.59317301395737,8.3,66.59317301395734
24082,Carsac-Aillac,75 - Nouvelle-Aquitaine,1586,33.41,25880.0,11.1494323552721,0.0,0,0,44.85316589743591,1.2748089743589743,8.2,33370.21796408379,False,False,80.94986261458232,8.2,80.94986261458227
24083,Carsac-de-Gurson,75 - Nouvelle-Aquitaine,231,27.13,21500.0,9.75054250009188,0.0,0,0,44.94190491803279,0.0953659016393442,9.8,34550.1399514112,False,False,53.40485127321713,9.8,53.404851273217126
24084,Carves,75 - Nouvelle-Aquitaine,98,39.58,,7.76061738626771,0.0,0,0,44.78456169491525,1.061996440677966,17.3,37296.355114824255,False,False,47.48021003472383,17.3,47.4802100347238
24085,La Cassagne,75 - Nouvelle-Aquitaine,149,24.16,23320.0,10.0914083003177,0.0,0,0,45.05658507462686,1.3060901492537316,7.0,32427.68186060592,False,False,93.94381998016074,7.0,93.94381998016074
24086,Castelnaud-la-Chapelle,75 - Nouvelle-Aquitaine,451,27.18,23920.0,7.76061738626771,0.0,0,0,44.80005382978722,1.128105,13.0,34767.63080203018,False,False,47.59108216910836,13.0,47.59108216910833
24087,Castels et Bézenac,75 - Nouvelle-Aquitaine,813,39.01,25190.0,7.76061738626771,0.0,0,0,44.86690348314607,1.085667078651685,10.0,34353.734309090665,False,False,68.18195395117678,10.0,68.18195395117675
