code_insee,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,loyer_m2,nb_audioprothesistes_2022,nb_audioprothesistes_2026,nb_orl_liberaux_2026,lat,lon,dist_audio_km,score_v2,sans_audio_5k,prioritaire_v2,apl
32405,,76 - Occitanie,172,30.11,24670.0,8.52468770557439,,0,0,43.841782181818175,0.5854936363636362,4.4,31362.03019878118,False,False,53.458985972502774
32406,Saint-Sauvy,76 - Occitanie,355,24.32,24780.0,8.99224831792825,0.0,0,0,43.696031343283586,0.8166844776119402,5.9,31365.526523209286,False,False,41.80016403435127
32407,Saint-Soulan,76 - Occitanie,152,34.46,22730.0,7.38908068601093,0.0,0,0,43.51010392156863,0.8622654901960783,5.5,32946.84158511193,False,False,43.553224351667595
32408,Salles-d'Armagnac,76 - Occitanie,116,30.17,23290.0,8.73987203474783,0.0,0,0,43.81192952380953,-0.04560238095238095,5.6,32407.723109534163,False,False,42.47680642066444
32409,Samaran,76 - Occitanie,74,35.53,,8.45478102063581,0.0,0,0,43.39422106382979,0.5277672340425533,14.9,35968.54921394537,False,False,41.31591126570577
32410,Samatan,76 - Occitanie,2517,30.31,25520.0,9.97228634708631,1.0,1,0,43.4947306870229,0.9330828244274808,0.0,29875.43842159059,False,False,28.208171695242292
32411,Sansan,76 - Occitanie,102,24.04,,8.74417596583251,0.0,0,0,43.527611621621624,0.6097102702702702,14.9,34835.276802763416,False,False,56.61219431876923
32412,Saramon,76 - Occitanie,864,25.4,24680.0,7.38908068601093,0.0,0,0,43.52455339622641,0.764080754716981,12.5,34070.01249163127,False,False,42.0545711177573
32414,Sarragachies,76 - Occitanie,217,30.58,25930.0,9.11725499779164,0.0,0,0,43.68452517241379,-0.05024327586206896,5.1,31737.89524176746,False,False,55.82520220832824
32415,Sarraguzan,76 - Occitanie,88,23.33,,8.97969000814358,0.0,0,0,43.3646875471698,0.3406781132075471,5.6,31056.8617880698,False,False,47.809677499425725
32416,Sarrant,76 - Occitanie,358,29.09,26830.0,9.83164300336681,0.0,0,0,43.76996493506494,0.9266551948051949,6.3,32251.251265227947,False,False,30.830581898555156
32417,La Sauvetat,76 - Occitanie,403,28.02,23740.0,8.67384699843003,0.0,0,0,43.848791111111105,0.5364732098765432,8.4,33132.003435449355,False,False,60.338847387687736
32418,,76 - Occitanie,278,19.57,25380.0,8.92680635574315,,0,0,43.45344322580647,0.8492498387096774,4.2,30179.550113530255,False,False,22.713476564782255
32419,Sauviac,76 - Occitanie,103,46.53,,8.45478102063581,0.0,0,0,43.409834749999995,0.46013075,12.8,36228.718205377314,False,False,36.98177354600638
