site_id,siret,enseigne,raison_sociale,groupe,adresse,code_postal,code_insee,commune_rpps,secteur,n_praticiens,n_salaries,n_titulaires,nom_site,retail,type,code_insee_geo,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,nb_audioprothesistes_2026,lat,lon,dist_audio_km,apl,n_sites_commune,concurrents_10km,concurrents_20km,concurrents_30km,dist_concurrent_km,bande_concurrence,bande10,strate,poids
R10100000696472,44249119700442,AUDITION MUTUALISTE,MUTUALITE FRANCAISE AVEYRON,Écouter Voir / mutualiste,3 Avenue CABROL,12300,12089,Decazeville,Appareillage médical,2,2,0,AUDITION MUTUALISTE,True,mutualiste,12089,Decazeville,76 - Occitanie,5020.0,35.22,21560.0,6.0,44.56761060240964,2.2565390361445785,0.0,77.11029284718106,3,2.0,12.0,13.0,0.0,10+,1-2,1-2 | mutualiste,1.0
R10100000795589,91794175900032,OPTIC 2000,SARL MPF,Optic 2000,,09000,09122,Foix,Appareillage médical,1,1,0,OPTIC 2000,True,enseigne nationale,09122,Foix,76 - Occitanie,9934.0,26.66,23470.0,9.0,42.96620936842105,1.610524947368421,0.0,135.95987459598484,7,6.0,24.0,28.0,0.0,10+,3-9,3-9 | enseigne nationale,3.772
R10100000719939,91157558700025,AUDITION CORNU,AUDITION CORNU,Indépendant / autre,261 Rue DU 4 AOUT 1789,69100,69266,Villeurbanne,Appareillage médical,1,0,1,AUDITION CORNU,True,indépendant,69266,Villeurbanne,84 - Auvergne-Rhône-Alpes,163684.0,13.67,24160.0,19.0,45.76984590909091,4.893567045454545,0.0,129.6836856591414,13,167.0,240.0,296.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000716010,88916073500029,SONANCE AUDITION,SOLLIER AUDITION,Sonance Audition,8 Rue NATIONALE,35380,35223,Plélan-le-Grand,Appareillage médical,1,1,0,SONANCE AUDITION,True,enseigne nationale,35223,Plélan-le-Grand,53 - Bretagne,4076.0,22.56,25430.0,1.0,47.99738653225806,-2.080897983870968,0.0,75.97773559713958,1,0.0,7.0,44.0,10.8,10+,0,0 | enseigne nationale,1.0
R10100000827373,44761000700034,ENTENDRE,LABORATOIRE FLORENCE VERJUS,Entendre,5 Rue des Tortues Royes,02820,02676,Saint-Erme-Outre-et-Ramecourt,Appareillage médical,2,0,2,ENTENDRE,True,enseigne nationale,02676,Saint-Erme-Outre-et-Ramecourt,32 - Hauts-de-France,1697.0,19.35,23190.0,2.0,49.518824,3.858863,0.0,38.58502143533537,1,0.0,5.0,9.0,18.5,3-9,0,0 | enseigne nationale,1.0
R10100000692303,39811840600048,FRANCOIS LACHAL AUDITION,LACHAL ACOUSTIQUE,Indépendant / autre,Place DE LA REPUBLIQUE,24110,24372,Saint-Astier,Appareillage médical,2,2,0,FRANCOIS LACHAL AUDITION,True,indépendant,24372,,75 - Nouvelle-Aquitaine,5376.0,32.1,24920.0,2.0,45.144534,0.5206838947368421,0.0,67.14366110689876,1,0.0,15.0,19.0,12.8,10+,0,0 | indépendant,1.0
R10100000707693,75138722600010,,AC OPTIQUE,Indépendant / autre,24 Avenue DE GRAMMONT,37000,37261,Tours,Appareillage médical,1,1,0,AC OPTIQUE,True,indépendant,37261,Tours,24 - Centre-Val de Loire,139259.0,18.98,23390.0,35.0,47.39426389473685,0.6964942105263157,0.0,99.18496686945012,23,48.0,56.0,71.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000771191,84870813700031,,BREIZH AUDITION,Indépendant / autre,181 Avenue DU 4 AOUT 1944,56000,56260,Vannes,Appareillage médical,1,0,1,BREIZH AUDITION,True,indépendant,56260,Vannes,53 - Bretagne,55790.0,26.74,27430.0,21.0,47.656927612903225,-2.753176967741936,0.0,117.28704738615475,17,27.0,51.0,65.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000801634,98858637600036,AUDIO VITAL,AUDIO VITAL,Indépendant / autre,128 Rue Jean Jaures,59491,59009,Villeneuve-d'Ascq,Appareillage médical,1,0,1,AUDIO VITAL,True,indépendant,59009,Villeneuve-d'Ascq,32 - Hauts-de-France,62868.0,14.69,23900.0,12.0,50.63444026548672,3.1582894690265486,0.0,101.62549590956482,11,101.0,139.0,192.0,0.0,10+,10+,10+ | indépendant,3.7745901639344264
R10100000687004,30889577001191,AUDIKA,SOGECA,Audika,14 Rue DE FLANDRE,08000,08105,Charleville-Mézières,Appareillage médical,1,1,0,AUDIKA,True,enseigne nationale,08105,Charleville-Mézières,44 - Grand Est,45560.0,22.86,20390.0,18.0,49.777263283582094,4.720590970149254,0.0,94.49771204011697,12,14.0,21.0,21.0,0.0,10+,10+,10+ | enseigne nationale,3.7737909516380657
