site_id,siret,enseigne,raison_sociale,groupe,adresse,code_postal,code_insee,commune_rpps,secteur,n_praticiens,n_salaries,n_titulaires,nom_site,retail,type,code_insee_geo,commune,region,population_2023,part_65_plus_pct,revenu_median_uc,nb_audioprothesistes_2026,lat,lon,dist_audio_km,apl,n_sites_commune,concurrents_10km,concurrents_20km,concurrents_30km,dist_concurrent_km,bande_concurrence,alternatives_10km,memes_enseigne_10km,alternatives_20km,memes_enseigne_20km,bande_alt10,nb_audio_2022_commune,entrant_commune
R10100000705122,52935748500042,OPTICAL CENTER,SAS JUROMA,Optical Center,90 Boulevard LOUIS ARMAND,53940,53201,Saint-Berthevin,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,53201,Saint-Berthevin,52 - Pays de la Loire,7479.0,27.61,26720.0,1.0,48.072934571428576,-0.8511973333333333,0.0,98.4158346480578,1,13.0,15.0,32.0,5.7,10+,10,2,10,2,10+,1.0,False
R10100000705123,52935748500059,OPTICAL CENTER,SAS JUROMA,Optical Center,Avenue DE LA COMMUNAUTE EUROPEENNE,53000,53130,Laval,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,53130,Laval,52 - Pays de la Loire,49400.0,22.43,24120.0,18.0,48.06395961165049,-0.7679581553398058,0.0,107.11216807430982,11,14.0,15.0,30.0,0.0,10+,10,2,10,2,10+,10.0,False
R10100000705125,52935748500075,OPTICAL CENTER,SAS JUROMA,Optical Center,4 Rue DE LA POISSONNERIE,22000,22278,Saint-Brieuc,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,22278,Saint-Brieuc,53 - Bretagne,44364.0,22.97,23440.0,9.0,48.51710423076923,-2.7633998076923083,0.0,112.52527960468888,6,20.0,31.0,39.0,0.0,10+,16,2,23,2,10+,5.0,False
R10100000705127,52935748500109,OPTICAL CENTER,SAS JUROMA,Optical Center,61 Rue DU MOULIN AUX MOINES,72650,72065,La Chapelle-Saint-Aubin,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,72065,La Chapelle-Saint-Aubin,52 - Pays de la Loire,2256.0,28.33,29750.0,3.0,48.03580962264149,0.1562739622641509,0.0,61.917330416013066,3,22.0,27.0,38.0,0.0,10+,14,3,16,3,10+,2.0,False
R10100000705128,52935748500125,OPTICAL CENTER,SAS JUROMA,Optical Center,Rue DU PONT A L'ANGLAIS,22190,22187,Plérin,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,22187,Plérin,53 - Bretagne,14425.0,26.98,28670.0,9.0,48.54004242718447,-2.782072621359223,0.0,103.45016235425004,7,19.0,26.0,39.0,0.0,10+,15,2,20,2,10+,6.0,False
R10100000705129,52935748500133,OPTICAL CENTER,SAS JUROMA,Optical Center,9 Rue DU ROCHER,35510,35051,Cesson-Sévigné,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,35051,Cesson-Sévigné,53 - Bretagne,18761.0,21.27,32540.0,11.0,48.12172519230769,-1.593017980769231,0.0,141.01317164916028,12,54.0,92.0,113.0,0.0,10+,30,3,52,5,10+,6.0,False
R10100000705130,52935748500141,OPTICAL CENTER,SAS JUROMA,Optical Center,102 Avenue DE LATTRE DE TASSIGNY,53000,53130,Laval,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,53130,Laval,52 - Pays de la Loire,49400.0,22.43,24120.0,18.0,48.06395961165049,-0.7679581553398058,0.0,107.11216807430982,11,14.0,15.0,30.0,0.0,10+,10,2,10,2,10+,10.0,False
R10100000705131,52935748500166,OPTICAL CENTER,SAS JUROMA,Optical Center,LE PARC,72700,72003,Allonnes,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,72003,,52 - Pays de la Loire,10739.0,25.78,20890.0,2.0,47.957553375,0.13695125,0.0,57.774636253799386,2,23.0,30.0,34.0,0.0,10+,14,3,18,3,10+,,False
R10100000705133,52935748500182,OPTICAL CENTER,SAS JUROMA,Optical Center,12 Rue AMBROISE PARE,22360,22106,Langueux,Appareillage médical,2,2,0,OPTICAL CENTER,True,enseigne nationale,22106,Langueux,53 - Bretagne,7939.0,24.37,26880.0,9.0,48.50051769230769,-2.708749807692308,0.0,104.21672719827905,4,20.0,30.0,35.0,0.0,10+,16,2,23,2,10+,2.0,False
R10100000705134,52935748500190,OPTICAL CENTER,SAS JUROMA,Optical Center,LA VIEILLE COUR,35520,35173,Melesse,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,35173,Melesse,53 - Bretagne,7541.0,17.58,29540.0,3.0,48.2181616,-1.6959323,0.0,112.45150453646237,3,17.0,82.0,105.0,0.0,10+,14,0,46,6,10+,2.0,False
R10100000705135,52935748500208,OPTICAL CENTER,SAS JUROMA,Optical Center,Avenue JEAN BEALET,72400,72132,La Ferté-Bernard,Appareillage médical,1,1,0,OPTICAL CENTER,True,enseigne nationale,72132,La Ferté-Bernard,52 - Pays de la Loire,8740.0,30.45,23720.0,7.0,48.18575721518988,0.6382529113924051,0.0,54.31616205618728,5,4.0,9.0,12.0,0.0,10+,4,0,7,0,3-9,4.0,False
