rpps_structure_id,code_insee,code_insee_geo,commune,region,retail,type5,brand,owner_on_site,practitioners_topcoded_4,concurrents_10km,concurrents_20km,concurrents_30km,alternatives_10km,dist_concurrent_km,n_sites_commune,pop_10km,pop65_10km,demand65_per_site,apl_v21,entrant_commune,strate,poids,web_ok,prix_affiche,grille_tarifs,sante100,classe2,essai_gratuit,bilan_gratuit,rdv_en_ligne,devis,garantie_suivi
R10100000772934,75110,75056,Paris,,True,unbranded independent,,0,1,621.0,1063.0,1248.0,414.0,0.0,18,4550351,715814.5987000001,1150.8273290996783,132.01191546663827,False,,,,,,,,,,,,
R10100000772984,60382,60382,Margny-lès-Compiègne,32 - Hauts-de-France,True,unbranded independent,,1,2,17.0,22.0,49.0,16.0,0.0,2,92674,18189.437800000003,1010.5243222222224,90.22939782322094,False,10+ | indépendant,3.7745901639344255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
R10100000773172,07064,07064,Le Cheylard,84 - Auvergne-Rhône-Alpes,True,unbranded independent,,1,1,1.0,3.0,9.0,1.0,0.0,2,10312,3276.3232,1638.1616,31.48793780363452,False,1-2 | indépendant,1.0,,,,,,,,,,
R10100000773182,01249,01249,,84 - Auvergne-Rhône-Alpes,True,unbranded independent,,1,1,57.0,222.0,277.0,40.0,0.0,2,514834,85064.5279,1466.6297913793103,109.4178845612855,False,10+ | indépendant,3.7745901639344255,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
R10100000773450,11068,11068,Capendu,76 - Occitanie,True,unbranded independent,,1,1,1.0,19.0,25.0,1.0,8.2,1,17532,4675.756799999999,2337.8784,56.2208329586557,False,1-2 | indépendant,1.0,0.0,,0.0,,,,,,,
R10100000773453,83116,83116,Saint-Maximin-la-Sainte-Baume,93 - Provence-Alpes-Côte d'Azur,True,unbranded independent,,1,1,6.0,21.0,39.0,6.0,0.0,7,37658,8266.681,1180.9544285714287,53.55726097915463,False,3-9 | indépendant,3.77511961722488,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
R10100000773460,19272,19272,Tulle,75 - Nouvelle-Aquitaine,True,brand network,Audilab,1,1,5.0,7.0,26.0,5.0,0.0,6,28329,7976.8368,1329.4728,69.62388028054919,False,,,,,,,,,,,,
R10100000773471,75113,75056,Paris,,True,unbranded independent,,1,1,621.0,1063.0,1248.0,414.0,0.0,24,4550351,715814.5987000001,1150.8273290996783,132.81388370691002,False,10+ | indépendant,3.7745901639344255,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
R10100000773586,34172,34172,Montpellier,76 - Occitanie,True,unbranded independent,,1,1,80.0,93.0,128.0,53.0,0.0,37,477531,83003.1415,1024.7301419753087,108.96196967353306,False,,,,,,,,,,,,
R10100000773605,49092,49092,Chemillé-en-Anjou,52 - Pays de la Loire,True,unbranded independent,,1,2,4.0,11.0,34.0,4.0,0.0,5,21999,4177.6101,835.52202,57.70165772382393,False,3-9 | indépendant,3.77511961722488,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
R10100000773611,29254,29254,Saint-Martin-des-Champs,53 - Bretagne,True,integrated chain,Amplifon,0,3,8.0,18.0,20.0,8.0,0.0,7,42065,10451.1403,1161.2378111111111,92.232521548559,False,,,,,,,,,,,,
R10100000773626,60282,60282,Gouvieux,32 - Hauts-de-France,True,unbranded independent,,0,1,17.0,56.0,232.0,12.0,3.5,1,145744,24261.8198,1347.878877777778,54.09715229083871,True,,,,,,,,,,,,
